Location,Lat,Lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,0,50,10,0,22
Adamawa,9.23,12.46,0,3980,796,0,32
Akwa Ibom,5.033333,7.916667,0,100,20,0,14
Anambra,6.206944,7.067778,0,320,64,0,19
Bauchi,10.315833,9.844167,0,70,14,0,17
Bayelsa,5.033333,6.333333,0,25,5,0,26
Benue,7.730556,8.536111,0,2875,575,0,22
Borno,11.833333,13.15,0,495,99,0,38
Cross River,4.95,8.325,0,0,0,0,18
Delta,6.197842,6.728467,0,4040,808,0,71
Ebonyi,6.333333,8.1,0,165,33,0,32
Edo,6.333333,5.622222,0,15,3,0,185
Ekiti,7.621111,5.221389,0,25,5,0,11
Enugu,6.452778,7.511111,0,1795,359,0,29
Federal Capital Territory,9.066667,7.483333,0,2615,523,0,166
Gombe,10.283333,11.166667,0,20,4,0,44
Imo,5.485,7.035,0,140,28,0,37
Jigawa,11.701111,9.341944,0,100,20,0,16
Kaduna,10.516667,7.433333,0,75,15,0,65
Kano,12,8.516667,0,135,27,0,110
Katsina,12.983333,7.6,0,70,14,0,34
Kebbi,12.453611,4.200278,0,210,42,0,16
Kogi,7.816667,6.75,0,0,0,0,2
Kwara,8.5,4.55,0,30,6,0,55
Lagos,6.455027,3.384082,0,5325,1065,0,439
Nasarawa,8.491667,8.516667,0,9980,1996,0,13
Niger,9.613889,6.556944,0,0,0,0,17
Ogun,7.160833,3.348333,0,190,38,0,49
Ondo,7.25,5.195,0,5525,1105,0,63
Osun,7.766667,4.566667,0,80,16,0,52
Oyo,7.396389,3.916667,0,35,7,0,124
Plateau,9.916667,8.890278,0,75,15,0,57
Rivers,4.824167,7.033611,0,35,7,0,101
Sokoto,13.062222,5.233889,0,0,0,0,28
Taraba,8.9,11.366667,0,10,2,0,22
Yobe,11.744444,11.961111,0,125,25,0,9
Zamfara,12.15,6.666667,0,55,11,0,8
