Location,Lat,Lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,86350,50,10,1989,30
Adamawa,9.23,12.46,86350,135,27,1098,32
Akwa Ibom,5.033333,7.916667,86350,1140,228,4076,44
Anambra,6.206944,7.067778,86350,175,35,2333,19
Bauchi,10.315833,9.844167,86350,265,53,1701,23
Bayelsa,5.033333,6.333333,86350,75,15,1204,28
Benue,7.730556,8.536111,86350,1915,383,1455,25
Borno,11.833333,13.15,86350,60,12,1306,38
Cross River,4.95,8.325,86350,20,4,633,25
Delta,6.197842,6.728467,86350,7390,1478,2556,110
Ebonyi,6.333333,8.1,86350,130,26,2004,32
Edo,6.333333,5.622222,86350,10,2,6317,280
Ekiti,7.621111,5.221389,86350,100,20,1730,28
Enugu,6.452778,7.511111,86350,0,0,2747,29
Federal Capital Territory,9.066667,7.483333,86350,2925,585,22622,224
Gombe,10.283333,11.166667,86350,230,46,2602,58
Imo,5.485,7.035,86350,880,176,1956,41
Jigawa,11.701111,9.341944,86350,20,4,590,17
Kaduna,10.516667,7.433333,86350,315,63,10000,80
Kano,12,8.516667,86350,265,53,4224,121
Katsina,12.983333,7.6,86350,350,70,2210,37
Kebbi,12.453611,4.200278,86350,75,15,433,16
Kogi,7.816667,6.75,86350,0,0,3,2
Kwara,8.5,4.55,86350,1175,235,3700,64
Lagos,6.455027,3.384082,86350,1470,294,76919,753
Nasarawa,8.491667,8.516667,86350,665,133,2345,39
Niger,9.613889,6.556944,86350,195,39,998,20
Ogun,7.160833,3.348333,86350,0,0,5294,80
Ondo,7.25,5.195,86350,35,7,4475,98
Osun,7.766667,4.566667,86350,200,40,2898,86
Oyo,7.396389,3.916667,86350,80,16,8560,191
Plateau,9.916667,8.890278,86350,130,26,9804,71
Rivers,4.824167,7.033611,86350,115,23,12615,154
Sokoto,13.062222,5.233889,86350,0,0,779,28
Taraba,8.9,11.366667,86350,30,6,1216,32
Yobe,11.744444,11.961111,86350,15,3,490,9
Zamfara,12.15,6.666667,86350,75,15,324,9
