"Location","lat","lon","IniitalVaccinated","InitialExposed","InitialInfections","InitialRecovered","InitialDead"
"Barisal","22.5523004717653","90.2952294153501","0","0","0","0","0"
"Chittagong","22.7237398170767","91.7479507203736","0","0","0","0","0"
"Dhaka","24.1830172469834","90.2895161881265","0","0","0","0","0"
"Khulna","23.0123478699593","89.2872356608268","0","0","0","0","0"
"Rajshahi","24.5885491865384","89.0452568455507","0","0","0","0","0"
"Rangpur","25.7768134553748","89.0558812858869","0","0","0","0","0"
"Sylhet","24.7153416731843","91.6637291075635","0","0","0","0","0"
