Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Prague,50.083333,14.416667,1000488,1270,635,186689,2816
CentralBohemian,50,14.533333,579049,704,352,229605,3428
SouthBohemian,49.083333,14.666667,337407,260,130,98715,1986
Plzen,49.7475,13.3775,302470,50,25,97495,1922
KarlovyVary,50.230556,12.8725,148338,66,33,44116,1486
UstinadLabem,50.658333,14.041667,392460,96,48,121592,2633
Liberec,50.685584,14.537747,218296,52,26,79942,1282
HradecKralove,50.209167,15.831944,289935,176,88,103332,1825
Pardubice,49.951136,15.795636,242757,108,54,92453,1444
Vysocina,49.6079,15.580728,257970,234,117,79085,1378
SouthMoravian,49.363161,16.643175,623071,74,37,153473,3431
Olomouc,49.593889,17.250833,294923,20,10,91854,1711
Zlin,49.29786,17.393135,285086,12,6,90244,1602
Moravian-Silesian,49.988449,17.464759,567270,230,115,176621,3539
